
Sterbefälle, Sterbeziffern (je 100.000 Einwohner, altersstandardisiert) (ab 1998). Gliederungsmerkmale: Jahre, Region, Alter, Geschlecht, Nationalität, ICD-10, Art der Standardisierung
****************************************************************************************************

Diese Tabelle bezieht sich auf:
Region:;Deutschland
Alter:;Alle Altersgruppen
Geschlecht:;Insgesamt
Nationalität:;Alle Nationalitäten
Art der Standardisierung:;Standardbevölkerung &quot;Deutschland 2011&quot;
Sachverhalt:;Sterbefälle;"2018";"2017";"2016";"2015";"2014";"2013";"2012";"2011";"2010";"2009";"2008";"2007";"2006";"2005";"2004";"2003";"2002";"2001";"2000";"1999";"1998";
"A00-T98 Alle Krankheiten und Folgen äußerer Ursachen";"954.874";"932.272";"910.902";"925.200";"868.356";"893.825";"869.582";"852.328";"858.768";"854.544";"844.439";"827.155";"821.627";"830.227";"818.271";"853.946";"841.686";"828.541";"838.797";"846.330";"852.382";
"        A00-B99 Bestimmte infektiöse und parasitäre Krankheiten";"17.797";"17.285";"16.999";"19.943";"17.987";"18.480";"18.353";"16.683";"15.396";"15.496";"14.637";"13.890";"12.354";"12.061";"11.062";"10.891";"10.466";"10.375";"10.129";"9.122";"7.801";
"        C00-D48 Neubildungen";"238.345";"235.681";"238.396";"233.752";"230.771";"230.840";"228.289";"228.220";"225.141";"222.153";"221.920";"217.289";"217.095";"216.928";"214.863";"214.788";"215.441";"213.058";"216.419";"216.264";"218.445";
"        D50-D90 Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems";"3.781";"3.684";"3.218";"3.335";"2.931";"2.916";"2.685";"2.683";"2.588";"2.442";"2.454";"2.136";"2.044";"2.123";"2.054";"2.029";"1.872";"1.901";"1.815";"1.658";"1.605";
"        E00-E90 Endokrine, Ernährungs- und Stoffwechselkrankheiten";"34.640";"33.908";"31.249";"32.474";"29.270";"31.197";"30.605";"29.822";"29.233";"28.137";"27.331";"26.377";"26.624";"28.271";"27.041";"27.191";"26.355";"24.363";"23.671";"23.332";"23.194";
"        F00-F99 Psychische und Verhaltensstörungen";"58.053";"52.637";"46.258";"44.590";"35.935";"36.117";"30.890";"27.113";"25.079";"22.592";"18.850";"15.460";"14.145";"11.356";"9.516";"8.535";"7.922";"7.826";"8.636";"9.533";"9.720";
"        G00-H95 Krankheiten des Nervensystems und der Sinnesorgane";"34.892";"32.393";"29.799";"29.141";"25.888";"25.792";"24.287";"22.731";"21.868";"20.835";"19.841";"18.283";"19.411";"18.565";"17.689";"18.470";"17.756";"16.647";"16.109";"15.736";"15.934";
"        I00-I99 Krankheiten des Kreislaufsystems";"345.274";"344.524";"338.687";"356.616";"338.056";"354.493";"349.217";"342.233";"352.689";"356.462";"356.729";"358.684";"358.953";"367.361";"368.472";"396.622";"393.778";"391.727";"395.043";"406.122";"411.404";
"        J00-J99 Krankheiten des Atmungssystems";"71.719";"68.408";"64.414";"68.300";"58.604";"64.918";"60.454";"60.019";"60.515";"63.304";"59.049";"57.956";"54.888";"57.742";"52.500";"58.014";"53.646";"48.535";"51.806";"51.505";"49.084";
"        K00-K93 Krankheiten des Verdauungssystems";"41.074";"41.038";"40.673";"39.844";"38.537";"40.112";"40.094";"40.507";"42.684";"42.288";"43.686";"42.163";"42.973";"42.787";"42.213";"42.263";"41.849";"40.918";"40.712";"40.154";"40.510";
"        L00-L99 Krankheiten der Haut und der Unterhaut";"1.597";"1.565";"1.594";"1.442";"1.416";"1.374";"1.195";"1.161";"1.141";"1.030";"967";"820";"677";"607";"587";"521";"453";"406";"434";"441";"470";
"        M00-M99 Krankheiten des Muskel-Skelett-Systems und des Bindegewebes";"5.213";"4.812";"4.011";"3.771";"3.317";"3.524";"3.299";"3.056";"2.937";"2.662";"2.303";"2.189";"2.282";"2.024";"1.981";"2.021";"1.926";"1.908";"1.832";"1.800";"1.846";
"        N00-N99 Krankheiten des Urogenitalsystems";"24.719";"23.471";"23.802";"24.899";"22.247";"21.888";"20.536";"19.667";"19.768";"18.834";"18.537";"16.624";"15.087";"14.288";"13.246";"13.181";"12.260";"11.221";"10.719";"10.749";"10.735";
"        O00-O99 Schwangerschaft, Geburt und Wochenbett";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
"        P00-P96 Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben";"1.464";"1.483";"1.501";"1.320";"1.237";"1.117";"1.165";"1.244";"1.192";"1.175";"1.230";"1.464";"1.390";"1.341";"1.443";"1.424";"1.513";"1.484";"1.474";"1.625";"1.600";
"        Q00-Q99 Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien";"2.134";"2.070";"2.001";"1.816";"1.665";"1.706";"1.532";"1.619";"1.572";"1.563";"1.442";"1.451";"1.473";"1.528";"1.576";"1.621";"1.572";"1.612";"1.643";"1.610";"1.822";
"        R00-R99 Symptome und abnorme klinische und Laborbefunde, die andernorts nicht klassifiziert sind";"32.593";"29.438";"29.894";"27.437";"25.799";"25.189";"24.019";"22.550";"23.616";"23.704";"23.916";"21.691";"19.978";"20.193";"20.682";"21.739";"20.560";"22.332";"23.789";"22.579";"23.590";
