GENESIS-Tabelle: 23131-0001
Krankenhauspatienten: Deutschland, Jahre,;;;;;;;;;;;
Hauptdiagnose ICD-10 (1-3-Steller Hierarchie);;;;;;;;;;;
Diagnosen der Krankenhauspatienten;;;;;;;;;;;
Deutschland;;;;;;;;;;;
Gestorbene Patienten (Anzahl);;;;;;;;;;;
;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
ICD10-A00-B99;Bestimmte infektiöse und parasitäre Krankheiten;21968;23668;24022;25587;28265;27419;30388;29857;30339;32243
ICD10-A00-A09;  Infektiöse Darmkrankheiten;3261;3764;4152;4277;4726;4176;4488;4099;4008;3789
ICD10-A00;    Cholera;-;-;-;-;-;-;-;-;-;-
ICD10-A01;    Typhus abdominalis und Paratyphus;2;-;6;1;3;4;1;-;-;1
ICD10-A02;    Sonstige Salmonelleninfektionen;97;68;84;72;72;55;46;44;54;40
ICD10-A03;    Shigellose (Bakterielle Ruhr);-;-;-;-;-;-;-;1;-;-
ICD10-A04;    Sonstige bakterielle Darminfektionen;1601;1649;2010;2158;2541;2283;2499;2169;1985;1745
ICD10-A05;    Sonstige bakteriell bed. Lebensmittelvergiftungen;5;2;4;4;6;4;6;2;1;4
ICD10-A06;    Amöbiasis;2;1;2;1;1;1;-;1;-;-
ICD10-A07;    Sonstige Darmkrankheiten durch Protozoen;2;1;1;3;3;2;1;6;2;-
ICD10-A08;    Virusbed. u.sonst. näher bezeichn. Darminfektionen;312;424;309;290;254;192;281;208;244;200
ICD10-A09;    Sonst. Gastroenteritis u.Kolitis infekt. Ursprungs;1240;1619;1736;1748;1846;1635;1654;1668;1722;1799
ICD10-A15-A19;  Tuberkulose;219;210;214;207;223;188;186;163;177;180
ICD10-A15;    Tuberkulose der Atmungsorgane, gesichert;146;127;133;131;155;114;131;102;110;116
ICD10-A16;    Tuberkulose der Atmungsorgane, nicht gesichert;27;42;31;34;29;28;21;17;23;23
ICD10-A17;    Tuberkulose des Nervensystems;9;8;18;9;9;14;12;10;13;10
ICD10-A18;    Tuberkulose sonstiger Organe;10;14;14;9;6;8;8;11;15;6
ICD10-A19;    Miliartuberkulose;27;19;18;24;24;24;14;23;16;25
ICD10-A20-A28;  Bestimmte bakterielle Zoonosen;4;5;3;5;3;5;11;5;7;5
ICD10-A20;    Pest;-;-;-;1;-;-;-;-;-;-
ICD10-A21;    Tularämie;-;-;-;-;-;-;-;1;-;-
ICD10-A22;    Anthrax (Milzbrand);-;-;-;1;-;-;-;-;-;-
ICD10-A23;    Brucellose;1;-;-;-;-;-;-;-;-;-
ICD10-A24;    Rotz (Malleus) und Melioidose (Pseudorotz);-;1;-;-;-;-;2;-;-;-
ICD10-A25;    Rattenbisskrankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-A26;    Erysipeloid;3;4;3;1;1;3;4;1;2;2
ICD10-A27;    Leptospirose;-;-;-;-;2;2;2;2;2;1
ICD10-A28;    Sonstige bakterielle Zoonosen, ao.nicht klass.;-;-;-;2;-;-;3;1;3;2
ICD10-A30-A49;  Sonstige bakterielle Krankheiten;16237;17270;17128;18444;20465;20259;22603;22559;23050;25208
ICD10-A30;    Lepra (Aussatz);-;-;-;-;-;-;-;-;-;-
ICD10-A31;    Infektion durch sonstige Mykobakterien;18;17;17;15;19;15;25;23;22;26
ICD10-A32;    Listeriose;45;40;44;51;58;74;70;88;78;64
ICD10-A33;    Tetanus neonatorum;-;-;-;-;-;-;-;-;-;-
ICD10-A34;    Tetanus während Schwangerschaft,Geburt, Wochenbett;-;-;-;-;-;-;-;-;-;-
ICD10-A35;    Sonstiger Tetanus;4;1;-;4;-;-;-;2;-;-
ICD10-A36;    Diphtherie;-;-;-;-;-;-;-;-;-;-
ICD10-A37;    Keuchhusten;1;3;4;2;2;2;2;2;1;1
ICD10-A38;    Scharlach;-;-;-;-;-;-;-;-;-;1
ICD10-A39;    Meningokokkeninfektion;35;40;32;37;34;35;28;25;32;28
ICD10-A40;    Streptokokkensepsis;906;1099;1076;1188;1414;1244;1601;1634;1759;1901
ICD10-A41;    Sonstige Sepsis;14193;14930;14762;15786;17392;17341;19024;18800;19037;20809
ICD10-A42;    Aktinomykose;8;6;2;1;10;7;3;4;8;8
ICD10-A43;    Nokardiose;2;-;2;1;-;2;3;3;3;6
ICD10-A44;    Bartonellose;-;-;-;-;-;-;-;-;-;-
ICD10-A46;    Erysipel (Wundrose);606;656;685;711;795;772;879;952;1016;1089
ICD10-A48;    Sonstige bakterielle Krankheiten, ao.nicht klass.;96;101;67;77;92;88;90;80;90;120
ICD10-A49;    Bakterielle Infektion nicht näher bez.Lokalisation;323;377;437;571;649;679;878;946;1004;1155
ICD10-A50-A64;  Infektionen, vorw.d. Geschlechtsverkehr übertragen;1;1;4;4;3;5;1;-;2;1
ICD10-A50;    Syphilis connata;-;-;-;-;-;-;-;-;-;-
ICD10-A51;    Frühsyphilis;-;-;-;-;-;-;-;-;-;-
ICD10-A52;    Spätsyphilis;1;-;2;1;-;2;1;-;2;1
