"Año";"Periodo";"Estimación de muertes semanales"
"2000";"Semana 1";"9.414"
"2000";"Semana 2";"9.875"
"2000";"Semana 3";"9.626"
"2000";"Semana 4";"9.426"
"2000";"Semana 5";"8.759"
"2000";"Semana 6";"7.858"
"2000";"Semana 7";"7.514"
"2000";"Semana 8";"7.219"
"2000";"Semana 9";"7.014"
"2000";"Semana 10";"6.918"
"2000";"Semana 11";"6.647"
"2000";"Semana 12";"6.566"
"2000";"Semana 13";"6.846"
"2000";"Semana 14";"6.793"
"2000";"Semana 15";"7.011"
"2000";"Semana 16";"6.793"
"2000";"Semana 17";"6.553"
"2000";"Semana 18";"6.627"
"2000";"Semana 19";"6.305"
"2000";"Semana 20";"6.392"
"2000";"Semana 21";"6.052"
"2000";"Semana 22";"6.630"
"2000";"Semana 23";"6.147"
"2000";"Semana 24";"6.538"
"2000";"Semana 25";"6.324"
"2000";"Semana 26";"6.309"
"2000";"Semana 27";"6.385"
"2000";"Semana 28";"6.071"
"2000";"Semana 29";"6.359"
"2000";"Semana 30";"6.152"
"2000";"Semana 31";"6.355"
"2000";"Semana 32";"6.200"
"2000";"Semana 33";"6.489"
"2000";"Semana 34";"6.119"
"2000";"Semana 35";"6.056"
"2000";"Semana 36";"5.964"
"2000";"Semana 37";"6.077"
"2000";"Semana 38";"5.693"
"2000";"Semana 39";"5.899"
"2000";"Semana 40";"6.260"
"2000";"Semana 41";"6.382"
"2000";"Semana 42";"6.603"
"2000";"Semana 43";"6.614"
"2000";"Semana 44";"6.342"
"2000";"Semana 45";"6.742"
"2000";"Semana 46";"6.795"
"2000";"Semana 47";"6.949"
"2000";"Semana 48";"6.833"
"2000";"Semana 49";"6.624"
"2000";"Semana 50";"6.779"
"2000";"Semana 51";"6.969"
"2000";"Semana 52";"7.206"
"2001";"Semana 1";"7.465"
"2001";"Semana 2";"7.281"
"2001";"Semana 3";"7.138"
"2001";"Semana 4";"7.435"
"2001";"Semana 5";"7.359"
"2001";"Semana 6";"7.147"
"2001";"Semana 7";"7.239"
"2001";"Semana 8";"7.141"
"2001";"Semana 9";"7.425"
"2001";"Semana 10";"7.431"
"2001";"Semana 11";"6.829"
"2001";"Semana 12";"6.784"
"2001";"Semana 13";"6.591"
"2001";"Semana 14";"6.714"
"2001";"Semana 15";"6.629"
"2001";"Semana 16";"6.654"
"2001";"Semana 17";"6.796"
"2001";"Semana 18";"6.665"
"2001";"Semana 19";"6.769"
"2001";"Semana 20";"6.763"
"2001";"Semana 21";"6.752"
"2001";"Semana 22";"7.196"
"2001";"Semana 23";"6.560"
"2001";"Semana 24";"6.256"
"2001";"Semana 25";"6.539"
"2001";"Semana 26";"6.951"
"2001";"Semana 27";"6.763"
"2001";"Semana 28";"6.474"
"2001";"Semana 29";"6.129"
"2001";"Semana 30";"6.380"
"2001";"Semana 31";"7.179"
"2001";"Semana 32";"6.796"
"2001";"Semana 33";"6.546"
"2001";"Semana 34";"6.544"
"2001";"Semana 35";"6.299"
"2001";"Semana 36";"6.147"
"2001";"Semana 37";"6.020"
"2001";"Semana 38";"6.058"
"2001";"Semana 39";"6.172"
"2001";"Semana 40";"6.436"
"2001";"Semana 41";"6.395"
"2001";"Semana 42";"6.356"
"2001";"Semana 43";"6.516"
"2001";"Semana 44";"6.411"
"2001";"Semana 45";"6.634"
"2001";"Semana 46";"7.319"
"2001";"Semana 47";"7.275"
"2001";"Semana 48";"7.351"
"2001";"Semana 49";"7.327"
"2001";"Semana 50";"7.551"
"2001";"Semana 51";"8.002"
"2001";"Semana 52";"8.716"
"2002";"Semana 1";"9.120"
"2002";"Semana 2";"9.076"
"2002";"Semana 3";"8.968"
"2002";"Semana 4";"8.798"
"2002";"Semana 5";"8.845"
"2002";"Semana 6";"8.518"
"2002";"Semana 7";"8.186"
"2002";"Semana 8";"8.079"
"2002";"Semana 9";"7.874"
"2002";"Semana 10";"7.821"
"2002";"Semana 11";"7.545"
"2002";"Semana 12";"7.442"
"2002";"Semana 13";"6.847"
"2002";"Semana 14";"7.205"
"2002";"Semana 15";"7.029"
"2002";"Semana 16";"6.995"
"2002";"Semana 17";"6.999"
"2002";"Semana 18";"6.629"
"2002";"Semana 19";"6.466"
"2002";"Semana 20";"6.617"
"2002";"Semana 21";"6.562"
"2002";"Semana 22";"6.385"
"2002";"Semana 23";"6.270"
"2002";"Semana 24";"6.802"
"2002";"Semana 25";"6.981"
"2002";"Semana 26";"6.698"
"2002";"Semana 27";"6.470"
"2002";"Semana 28";"6.217"
"2002";"Semana 29";"6.504"
"2002";"Semana 30";"6.525"
"2002";"Semana 31";"6.477"
"2002";"Semana 32";"6.068"
"2002";"Semana 33";"6.116"
"2002";"Semana 34";"6.043"
"2002";"Semana 35";"6.044"
"2002";"Semana 36";"6.042"
"2002";"Semana 37";"6.034"
"2002";"Semana 38";"6.220"
"2002";"Semana 39";"6.180"
"2002";"Semana 40";"6.267"
"2002";"Semana 41";"6.390"
"2002";"Semana 42";"6.611"
"2002";"Semana 43";"6.646"
"2002";"Semana 44";"6.615"
"2002";"Semana 45";"6.682"
"2002";"Semana 46";"6.790"
"2002";"Semana 47";"6.699"
"2002";"Semana 48";"7.133"
"2002";"Semana 49";"7.222"
"2002";"Semana 50";"7.453"
"2002";"Semana 51";"7.497"
"2002";"Semana 52";"7.438"
"2003";"Semana 1";"7.783"
"2003";"Semana 2";"7.673"
"2003";"Semana 3";"8.410"
"2003";"Semana 4";"8.248"
"2003";"Semana 5";"8.051"
"2003";"Semana 6";"8.127"
"2003";"Semana 7";"7.658"
"2003";"Semana 8";"8.005"
"2003";"Semana 9";"7.694"
"2003";"Semana 10";"7.559"
"2003";"Semana 11";"7.207"
"2003";"Semana 12";"7.164"
"2003";"Semana 13";"7.206"
"2003";"Semana 14";"7.077"
"2003";"Semana 15";"7.194"
"2003";"Semana 16";"7.061"
"2003";"Semana 17";"7.062"
"2003";"Semana 18";"6.899"
"2003";"Semana 19";"6.690"
"2003";"Semana 20";"6.887"
"2003";"Semana 21";"6.750"
"2003";"Semana 22";"6.914"
"2003";"Semana 23";"6.805"
"2003";"Semana 24";"7.690"
"2003";"Semana 25";"7.727"
"2003";"Semana 26";"7.363"
"2003";"Semana 27";"6.650"
"2003";"Semana 28";"7.120"
"2003";"Semana 29";"6.855"
"2003";"Semana 30";"7.188"
"2003";"Semana 31";"7.777"
"2003";"Semana 32";"8.654"
"2003";"Semana 33";"8.774"
"2003";"Semana 34";"7.003"
"2003";"Semana 35";"6.564"
"2003";"Semana 36";"6.268"
"2003";"Semana 37";"6.198"
"2003";"Semana 38";"6.612"
"2003";"Semana 39";"6.473"
"2003";"Semana 40";"6.230"
"2003";"Semana 41";"6.551"
"2003";"Semana 42";"6.650"
"2003";"Semana 43";"6.822"
"2003";"Semana 44";"7.139"
"2003";"Semana 45";"7.496"
"2003";"Semana 46";"7.598"
"2003";"Semana 47";"7.444"
"2003";"Semana 48";"7.680"
"2003";"Semana 49";"7.977"
"2003";"Semana 50";"8.085"
"2003";"Semana 51";"8.031"
"2003";"Semana 52";"8.181"
"2004";"Semana 1";"8.684"
"2004";"Semana 2";"8.649"
"2004";"Semana 3";"8.053"
"2004";"Semana 4";"8.005"
"2004";"Semana 5";"7.669"
"2004";"Semana 6";"7.597"
"2004";"Semana 7";"7.339"
"2004";"Semana 8";"7.481"
"2004";"Semana 9";"7.579"
"2004";"Semana 10";"7.952"
"2004";"Semana 11";"7.751"
"2004";"Semana 12";"7.417"
"2004";"Semana 13";"7.171"
"2004";"Semana 14";"7.211"
"2004";"Semana 15";"7.070"
"2004";"Semana 16";"7.278"
"2004";"Semana 17";"7.029"
"2004";"Semana 18";"6.832"
"2004";"Semana 19";"6.827"
"2004";"Semana 20";"6.745"
"2004";"Semana 21";"6.927"
"2004";"Semana 22";"6.624"
"2004";"Semana 23";"6.512"
"2004";"Semana 24";"6.590"
"2004";"Semana 25";"6.421"
"2004";"Semana 26";"6.395"
"2004";"Semana 27";"6.868"
"2004";"Semana 28";"6.223"
"2004";"Semana 29";"6.274"
"2004";"Semana 30";"6.738"
"2004";"Semana 31";"7.034"
"2004";"Semana 32";"6.693"
"2004";"Semana 33";"6.507"
"2004";"Semana 34";"6.296"
"2004";"Semana 35";"6.381"
"2004";"Semana 36";"6.277"
"2004";"Semana 37";"6.235"
"2004";"Semana 38";"6.158"
"2004";"Semana 39";"6.200"
"2004";"Semana 40";"6.296"
"2004";"Semana 41";"6.609"
"2004";"Semana 42";"6.621"
"2004";"Semana 43";"7.021"
"2004";"Semana 44";"6.633"
"2004";"Semana 45";"7.067"
"2004";"Semana 46";"6.892"
"2004";"Semana 47";"7.338"
"2004";"Semana 48";"7.389"
"2004";"Semana 49";"7.513"
"2004";"Semana 50";"7.537"
"2004";"Semana 51";"7.837"
"2004";"Semana 52";"8.296"
"2004";"Semana 53";"9.596"
"2005";"Semana 1";"10.846"
"2005";"Semana 2";"11.299"
"2005";"Semana 3";"11.057"
"2005";"Semana 4";"10.154"
"2005";"Semana 5";"10.247"
"2005";"Semana 6";"9.599"
"2005";"Semana 7";"8.866"
"2005";"Semana 8";"8.823"
"2005";"Semana 9";"8.567"
"2005";"Semana 10";"9.000"
"2005";"Semana 11";"8.595"
"2005";"Semana 12";"7.894"
"2005";"Semana 13";"7.536"
"2005";"Semana 14";"7.113"
"2005";"Semana 15";"7.004"
"2005";"Semana 16";"7.022"
"2005";"Semana 17";"6.957"
"2005";"Semana 18";"6.816"
"2005";"Semana 19";"6.525"
"2005";"Semana 20";"6.627"
"2005";"Semana 21";"6.787"
"2005";"Semana 22";"6.528"
"2005";"Semana 23";"6.516"
"2005";"Semana 24";"6.578"
"2005";"Semana 25";"6.908"
"2005";"Semana 26";"6.570"
"2005";"Semana 27";"6.271"
"2005";"Semana 28";"6.489"
"2005";"Semana 29";"6.423"
"2005";"Semana 30";"6.369"
"2005";"Semana 31";"6.233"
"2005";"Semana 32";"6.374"
"2005";"Semana 33";"6.096"
"2005";"Semana 34";"6.079"
"2005";"Semana 35";"6.321"
"2005";"Semana 36";"5.942"
"2005";"Semana 37";"6.143"
"2005";"Semana 38";"6.006"
"2005";"Semana 39";"6.338"
"2005";"Semana 40";"6.375"
"2005";"Semana 41";"6.565"
"2005";"Semana 42";"6.533"
"2005";"Semana 43";"6.665"
"2005";"Semana 44";"6.452"
"2005";"Semana 45";"6.784"
"2005";"Semana 46";"7.051"
"2005";"Semana 47";"7.025"
