"Data (mm-dd)","< 1 ano","1-4 anos","5-14 anos","15-24 anos","25-34 anos","35-44 anos","45-54 anos","55-64 anos","65-74 anos","75-84 anos","≥ 85 anos","Desconhecido"
"Jan-01","2","0","0","2","4","6","15","26","70","145","205","0"
"Jan-02","1","0","0","1","2","8","25","40","65","179","257","0"
"Jan-03","1","0","0","4","1","3","17","33","59","145","216","0"
"Jan-04","0","0","0","0","0","9","26","41","62","140","223","0"
"Jan-05","0","0","0","2","3","5","23","41","69","137","213","0"
"Jan-06","1","0","1","1","1","5","14","30","53","134","221","0"
"Jan-07","0","0","0","3","3","4","11","26","54","128","192","0"
"Jan-08","2","0","0","1","2","3","15","24","55","137","205","0"
"Jan-09","0","0","1","2","1","3","16","33","59","123","203","0"
"Jan-10","0","0","0","2","0","3","16","38","47","142","222","0"
"Jan-11","1","0","1","1","0","7","13","27","45","131","197","0"
"Jan-12","1","1","0","0","3","4","15","34","56","128","203","0"
"Jan-13","1","1","1","1","2","5","17","34","67","143","170","0"
"Jan-14","1","0","0","0","1","6","15","19","46","118","178","0"
"Jan-15","1","0","0","1","1","1","11","19","59","108","167","0"
"Jan-16","2","0","0","3","0","6","13","42","48","121","159","0"
"Jan-17","0","1","0","0","2","5","9","32","47","136","181","0"
"Jan-18","1","0","0","2","0","4","12","28","61","119","165","0"
"Jan-19","0","0","0","1","2","2","13","42","50","118","196","0"
"Jan-20","1","0","2","1","2","5","13","30","53","126","189","0"
"Jan-21","1","0","0","1","3","6","11","25","51","138","194","0"
"Jan-22","1","1","0","4","1","10","17","27","45","125","183","0"
"Jan-23","2","0","0","0","1","5","13","31","63","140","209","0"
"Jan-24","0","1","0","0","1","5","15","45","56","154","208","0"
"Jan-25","4","0","0","2","0","4","12","17","52","115","175","1"
"Jan-26","1","0","0","2","1","2","17","33","50","119","216","0"
"Jan-27","0","0","0","1","0","5","14","19","60","123","222","0"
"Jan-28","1","0","0","2","1","2","11","30","59","120","171","0"
"Jan-29","0","0","0","2","1","2","16","29","53","132","154","0"
"Jan-30","0","0","0","0","1","6","21","21","46","119","193","0"
"Jan-31","0","0","0","1","3","5","19","31","58","114","177","0"
"Fev-01","0","1","0","0","1","5","15","31","47","120","190","1"
"Fev-02","0","0","0","1","0","2","9","30","52","119","172","0"
"Fev-03","0","0","0","0","1","4","15","30","47","111","169","0"
"Fev-04","1","0","0","1","0","8","13","32","54","117","160","0"
"Fev-05","1","1","0","1","2","5","8","27","47","101","175","0"
"Fev-06","2","0","0","1","3","0","13","25","44","98","159","0"
"Fev-07","0","0","0","0","1","1","16","29","40","120","144","0"
"Fev-08","1","0","0","2","0","6","17","20","42","107","127","0"
"Fev-09","2","0","1","0","3","4","15","31","57","88","127","0"
"Fev-10","2","1","0","0","4","4","14","39","55","106","142","0"
"Fev-11","2","0","0","0","1","8","14","36","48","107","166","0"
"Fev-12","2","0","0","0","1","6","16","26","43","127","149","0"
"Fev-13","0","0","0","0","2","4","11","33","49","115","153","1"
"Fev-14","0","0","0","1","1","4","11","18","43","96","130","0"
"Fev-15","0","0","1","0","1","4","15","25","50","108","133","0"
"Fev-16","0","0","1","0","1","7","11","19","44","102","140","0"
"Fev-17","0","0","1","1","1","4","14","23","47","104","135","0"
"Fev-18","1","0","0","3","1","1","10","24","49","117","153","0"
"Fev-19","0","0","0","0","1","9","15","35","52","107","134","0"
"Fev-20","0","0","0","1","0","5","15","27","38","121","139","0"
"Fev-21","2","0","0","1","2","6","12","29","46","96","135","0"
"Fev-22","1","0","1","3","1","5","7","14","39","101","116","0"
"Fev-23","1","0","0","0","0","3","7","26","36","117","145","0"
"Fev-24","0","0","1","0","0","2","14","30","48","101","148","0"
"Fev-25","1","0","0","0","2","1","15","26","43","94","130","0"
"Fev-26","0","0","0","1","2","4","15","24","40","91","115","0"
"Fev-27","2","0","0","0","4","3","10","22","46","94","123","0"
"Fev-28","0","0","0","0","2","4","9","26","44","112","132","0"
"Mar-01","1","1","0","2","4","4","17","22","50","78","122","0"
"Mar-02","0","0","0","1","1","2","20","18","32","87","129","0"
"Mar-03","0","0","0","2","0","3","8","28","39","90","141","0"
"Mar-04","0","0","0","1","3","4","7","25","42","86","127","1"
"Mar-05","1","0","0","1","1","7","8","17","56","91","126","0"
"Mar-06","1","0","0","1","3","7","19","21","33","88","139","0"
"Mar-07","0","1","0","0","1","4","11","20","39","89","128","1"
"Mar-08","2","1","1","0","2","1","15","21","46","79","148","0"
"Mar-09","1","0","0","0","2","6","11","31","35","103","132","0"
"Mar-10","1","0","1","0","3","3","22","26","51","84","133","0"
"Mar-11","1","0","0","1","3","3","11","19","40","93","116","0"
"Mar-12","0","2","0","1","0","5","7","29","44","74","134","0"
"Mar-13","0","0","0","0","1","3","14","14","40","73","128","0"
"Mar-14","1","0","1","0","1","2","10","27","43","85","134","0"
"Mar-15","0","1","0","0","0","6","17","20","50","87","126","0"
