Macrotrends Data Download

Portugal Population 1950-2021
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,8416967
1951-12-31,8418733,0.02
1952-12-31,8451546,0.39
1953-12-31,8503174,0.61
1954-12-31,8563707,0.71
1955-12-31,8625532,0.72
1956-12-31,8683419,0.67
1957-12-31,8734426,0.59
1958-12-31,8777697,0.5
1959-12-31,8814022,0.41
1960-12-31,8844645,0.35
1961-12-31,8869986,0.29
1962-12-31,8888513,0.21
1963-12-31,8896272,0.09
1964-12-31,8888225,-0.09
1965-12-31,8862280,-0.29
1966-12-31,8814786,-0.54
1967-12-31,8750858,-0.73
1968-12-31,8687876,-0.72
1969-12-31,8649253,-0.44
1970-12-31,8651340,0.02
1971-12-31,8699997,0.56
1972-12-31,8789102,1.02
1973-12-31,8907926,1.35
1974-12-31,9039975,1.48
1975-12-31,9172241,1.46
1976-12-31,9302298,1.42
1977-12-31,9431043,1.38
1978-12-31,9552604,1.29
1979-12-31,9660746,1.13
1980-12-31,9750964,0.93
1981-12-31,9820872,0.72
1982-12-31,9870823,0.51
1983-12-31,9902997,0.33
1984-12-31,9921241,0.18
1985-12-31,9929184,0.08
1986-12-31,9926416,-0.03
1987-12-31,9914066,-0.12
1988-12-31,9899198,-0.15
1989-12-31,9890822,-0.08
1990-12-31,9895364,0.05
1991-12-31,9916049,0.21
1992-12-31,9951303,0.36
1993-12-31,9996640,0.46
1994-12-31,10045044,0.48
1995-12-31,10091325,0.46
1996-12-31,10134020,0.42
1997-12-31,10174563,0.4
1998-12-31,10214052,0.39
1999-12-31,10254490,0.4
2000-12-31,10297112,0.42
2001-12-31,10341454,0.43
2002-12-31,10385987,0.43
2003-12-31,10429612,0.42
2004-12-31,10470921,0.4
2005-12-31,10508495,0.36
2006-12-31,10542830,0.33
2007-12-31,10573143,0.29
2008-12-31,10595314,0.21
2009-12-31,10604056,0.08
2010-12-31,10596058,-0.08
2011-12-31,10569380,-0.25
2012-12-31,10526308,-0.41
2013-12-31,10473021,-0.51
2014-12-31,10418218,-0.52
2015-12-31,10368351,-0.48
2016-12-31,10325538,-0.41
2017-12-31,10288527,-0.36
2018-12-31,10256193,-0.31
2019-12-31,10226187,-0.29
2020-12-31,10196709,-0.29
2021-12-31,10167925,-0.28
2022-12-31,10140570,-0.27
2023-12-31,10114023,-0.26
2024-12-31,10087500,-0.26
2025-12-31,10060418,-0.27
2026-12-31,10032453,-0.28
2027-12-31,10003588,-0.29
2028-12-31,9973883,-0.3
2029-12-31,9943534,-0.3
2030-12-31,9912679,-0.31
2031-12-31,9881242,-0.32
2032-12-31,9849064,-0.33
2033-12-31,9816084,-0.33
2034-12-31,9782252,-0.34
2035-12-31,9747506,-0.36
2036-12-31,9711807,-0.37
2037-12-31,9675118,-0.38
2038-12-31,9637344,-0.39
2039-12-31,9598415,-0.4
2040-12-31,9558265,-0.42
2041-12-31,9516870,-0.43
2042-12-31,9474211,-0.45
2043-12-31,9430226,-0.46
2044-12-31,9384869,-0.48
2045-12-31,9338123,-0.5
2046-12-31,9289970,-0.52
2047-12-31,9240468,-0.53
2048-12-31,9189684,-0.55
2049-12-31,9137687,-0.57
2050-12-31,9084576,-0.58
2051-12-31,9030427,-0.6
2052-12-31,8975310,-0.61
2053-12-31,8919333,-0.62
2054-12-31,8862628,-0.64
2055-12-31,8805332,-0.65
2056-12-31,8747544,-0.66
2057-12-31,8689388,-0.66
2058-12-31,8631003,-0.67
2059-12-31,8572529,-0.68
2060-12-31,8514103,-0.68
2061-12-31,8455866,-0.68
2062-12-31,8397934,-0.69
2063-12-31,8340490,-0.68
2064-12-31,8283667,-0.68
2065-12-31,8227647,-0.68
2066-12-31,8172526,-0.67
2067-12-31,8118413,-0.66
2068-12-31,8065494,-0.65
2069-12-31,8013948,-0.64
2070-12-31,7963946,-0.62
2071-12-31,7915534,-0.61
2072-12-31,7868749,-0.59
2073-12-31,7823635,-0.57
2074-12-31,7780203,-0.56
2075-12-31,7738441,-0.54
2076-12-31,7698340,-0.52
2077-12-31,7659866,-0.5
2078-12-31,7622889,-0.48
2079-12-31,7587264,-0.47
2080-12-31,7552823,-0.45
2081-12-31,7519517,-0.44
2082-12-31,7487262,-0.43
2083-12-31,7455878,-0.42
2084-12-31,7425157,-0.41
2085-12-31,7394920,-0.41
2086-12-31,7365097,-0.4
2087-12-31,7335643,-0.4
2088-12-31,7306516,-0.4
2089-12-31,7277669,-0.39
2090-12-31,7249093,-0.39
2091-12-31,7220776,-0.39
2092-12-31,7192732,-0.39
2093-12-31,7164983,-0.39
2094-12-31,7137580,-0.38
2095-12-31,7110579,-0.38
2096-12-31,7084056,-0.37
2097-12-31,7058111,-0.37
2098-12-31,7032852,-0.36
2099-12-31,7008417,-0.35
2100-12-31,6984955,-0.33
